idx,Maladie,Symptomes,raisons,Tests et procédures,Médicaments courants
23,Troubles de la douleur chronique,"['Malheur au dos', 'Malheur au dos', 'Malheur au dos', 'Malheur au genou', 'Malheur au cou', 'Malheur à la tête', 'Malheur abdominale aiguë', 'Malheur au cou', 'Malheur au genou', 'Malheur au genou', 'Malheur au pelvien', 'Malheur au bas du corps']","Le trouble de la douleur est une douleur chronique ressentie par un patient dans une ou plusieurs régions, et on pense qu'elle est causée par un stress psychologique. La douleur est souvent si grave qu'elle empêche le patient de fonctionner correctement. La durée peut être aussi courte que quelques jours ou aussi longtemps que plusieurs années. Le trouble peut commencer à n'importe quel âge, et se produit plus fréquemment chez les filles que les garçons. Ce trouble se produit souvent après un accident ou pendant une maladie qui a causé la douleur, qui prend alors une \'vie\' de son propre.","[« Imagerie par résonance magnétique (Mri) », « Panneau lipide », « Exercices de thérapie physique (exercices) », « Insertion du cathéter ou du stimulateur médullaire et injection dans le canal médullaire », « Autres interventions thérapeutiques », « Autres interventions non-OR thérapeutiques sur le système musculo-squelettique », « Exercices de thérapie physique, manipulation et autres interventions »]","['Oxycodone', 'Méthadone', 'Carisoprodol (Soma)', 'Oxymorphone (Opana)', 'Produit thématique diclofénac', 'Milnacipran (Savella)', 'Cannabis (substance de l'annexe I)', 'Cevimeline (Evoxac)', 'Sorbitol', 'Choline']"
24,Problème pendant la grossesse,"['Sharp abdominal pain', 'Paine pendant la grossesse', 'Problèmes pendant la grossesse', 'Malheur abdominale basse', 'Spit ou saignement pendant la grossesse', 'Nausée', 'Headache', 'Back pain', 'Vomissements', 'Burning abdominal pain', 'Pelvic pain', 'Crampes et spasmes']","produit topique du miconazole,","['Urinalyse', 'Tests hématologiques (Test de sang)', 'Complètement de la numération sanguine (Cbc)', 'Procédure d'imagerie radiographique', 'Mesure du glucose (Niveau de glucose)', 'Test de grossesse standard', 'Examen de bassin']","['Multivitamine, Prénatale', 'Miconazole Topical Product', 'Rho(D) Immune Globuline (Rhogam)', 'Clomiphène (Clomid)', 'Methyldopa']"
25,Cancer du foie,"['Sharp abdominal pain', 'Upper abdominal pain', 'Stomach bloating', 'Modification de l'apparence des selles', 'Decreased appétit', 'Une couleur ou une odeur inhabituelles pour l'urine', 'Augmentation du rythme cardiaque', 'Kidney mass', 'Swollen abdominal', 'Symptômes de la prostate', 'Léger raideur ou étanchéité', 'Groin mass']","Le cancer du foie ou le cancer du foie (du grec h\xc4\x93par, signifiant le foie) est un cancer qui provient du foie. Les cancers du foie sont des tumeurs malignes qui poussent à la surface ou à l'intérieur du foie. Les tumeurs du foie sont découvertes sur des appareils d'imagerie médicale (souvent par accident) ou se présentent symptomatiquement comme une masse abdominale, une douleur abdominale, une jaunisse, des nausées ou un dysfonctionnement du foie.","['Tests hématologiques (Test de sang)', 'Complete health count (Cbc)', 'Glucose measurement (Glucose level)', 'Electrolytes panel', 'X-ray calculed tomography (Scan ct)', 'Ultrasonography (Ultrasound)', 'Biopsy']","['Spironolactone', 'Oxycodone', 'Tacrolimus (Prograf)', 'Lactulose', 'Sorafenib', 'Dexaméthasone', 'Aprépitant (Emend)', 'Gemcitabine (Gemzar)', 'Valganciclovir (Valcyte)', 'Palonosetron (Aloxi)', 'Mycophénolate Mofétil (Cellcept)', 'Nystatine Topical Product']"
26,Atélectase,"['Toux', 'Shortness of breath', 'Sharp thorax pain', 'Fever', 'Nasal congestion', 'Doublures', 'Malheur à la gorge', 'Sharp abdominal pain', 'Difficulté à respirer', 'Rib pain', 'Malheur partout', 'Headache']","L'atélectase (du grec \xe1\xbc\x80\xcf\x84\xce\xb5\xce\xbb\xce\xxc\xc\x82, ""incomplete"" + \xe1\xbc\x94\xce\xba\xcf\x84\xce\xb1\xcf\x83\xce\xb9\xcf\x82, ""extension"") est définie comme l'effondrement ou la fermeture du poumon entraînant une réduction ou une absence de l'échange de gaz.","['Procédure d'imagerie radiographique', 'Plain x-ray (rayon X)', 'Tests hématologiques (test de sang)', 'Complete sang computing (Cbc)', 'Tomographie calculée par rayons X (Scan ct)', 'Electrocardiogramme', 'Remplacement de liquide intraveineux']","['Guaifenesine (Mucinex)', 'Cilostazol', 'Tiotropium (Spiriva)', 'Factor Ix Complex (Obsolète)', 'Lactase', 'Iodine (I-Deal)', 'Pancreatin', 'Filgrastim (Neupogen)', 'Darbepoetin Alfa (Aranesp)', 'Olopatadine Ophtalmic', 'Cefuroxime']"
27,Blessure à la main,"[« Douleur de main ou de doigt », « Gonflement de la main ou du doigt », « Douleur de poignet », « Rigidité ou étanchéité des mains ou des doigts », « Douleur commune », « Croissance de la peau », « Rigidité ou étanchéité musculaire », « Pallière », « faiblesse focale », « Symptômes du visage », « Gonflement de poignet », « Grume ou masse des doigts »]","La main est un organe très complexe avec de multiples articulations, différents types de ligament, tendons et nerfs. Avec une utilisation constante, il n'est pas étonnant que les blessures de la main sont courantes dans la société. Les blessures de la main peuvent résulter d'une utilisation excessive, de troubles dégénératifs ou de traumatismes.","['Procédure d'imagerie radiographique', 'Plain x-ray (X ray)', 'Application de l'attelle (Splinting)', 'Gestion des soins de la plaie', 'Suturation de la plaie', 'Exercices de thérapie physique', 'Évaluation de la thérapie professionnelle (Speech Therapy)']","['Etodolac', 'Etanercept (Enbrel)', 'Propoxyphène', 'Capsaicin Topical', 'Dapsone']"
28,Cholédocolithiase,"['Sharp abdominal pain', 'Sharp abdominal pain', 'Vomissement', 'Nausée', 'Sharp abdominal pain', 'Diarrhée', 'Jaundice', 'Side pain', 'Chills', 'Une couleur inhabituelle ou une odeur d'urine', 'Attention réduite']","Une pierre biliaire est une concrétion cristalline formée dans la vésicule biliaire par accrétion de composants biliaires. Ces calculs sont formés dans la vésicule biliaire, mais peuvent passer distally dans d'autres parties du tractus biliaire comme le canal kystique, le canal biliaire commun, le canal pancréatique, ou l'ampulla de Vater. Rarement, en cas d'inflammation sévère, les pierres biliaires peuvent s'éroder à travers la vésicule biliaire en intestin adhérent pouvant causer une obstruction appelée ileus de pierre biliaire.","['Tests hématologiques (Test de sang)', 'Complete hémorragique (Cbc)', 'Procédure d'imagerie radiographique', 'Remplacement de liquide intraveineux', 'Tests de fonction de Kidney (Test de fonction de Kidney)', 'Electrolytes panel', 'Mesure du glucose (Niveau de glucose)']","['Metronidazole', 'Midazolam (Versed)', 'Zosyn', 'Ampicilline', 'Mivacurium', 'Plasma Protein Fraction (Plasmanate)', 'Vitamine K 1 (Mephyton)', 'Desipramine', 'Cinacalcet (Sensipar)', 'Barium Sulfate', 'Sulfaméthoxazole (Bactrim)']"
29,Blessure à la hanche,"['Malheur au genou', 'Malheur au cou', 'Malheur au cou', 'Malheur à la gorge', 'Malheur au bas du corps', 'Gonflement de la main ou du doigt', 'Oedème périphérique', 'Gonflement du sang', 'Problèmes avec mouvement']",Blessures générales ou non spécifiées impliquant la hanche.,"['Procédure d'imagerie radiographique', 'Plain x-ray (rayon X)', 'X-ray calculed tomography (Scan ct)', 'Kidney fonction test (Kidney fonction test)', 'Intravenous fluid remplacement', 'CAT scan of head (Head ct)', 'Application of attlint (Splinting)']","['Hydrocodone', 'Metaxalone (Skelaxin)', 'Calcium Acetate', 'Hydroxychloroquine (Plaquenil)', 'Rosiglitazone (Avandia)', 'Glucosamine', 'Malathion Topical', 'Gadoteridol (Prohance)', 'Devil\\'S Préparation des griffes']"
30,Cirrhose,"[« Douleur abdominale sharp », « Essoufflement », « Oedème périphérique », « Fatigue », « Douleur abdominale sharp », « Distention abdominale », « Gonflement de l'estomac », « Blood dans les selles », « Regurgitation », « Symptômes des reins », « Vomissement du sang », « Melena »]","La cirrhose /s\xc9\xaa\xcb\x88ro\xca\x8as\xc9\xaas/ est une conséquence d'une maladie hépatique chronique caractérisée par le remplacement des tissus hépatiques par la fibrose, les cicatrices et les nodules régénératifs (chutes qui résultent d'un processus de régénération des tissus endommagés), entraînant une perte de la fonction hépatique.","['Tests hématologiques (Test de Blood)', 'Complete hémorragique (Cbc)', 'Glucose measurement (Glucose level)', 'Electrolytes panel', 'Lipid panel', 'Liver function tests (Liver test)', 'Hémoglobine A1c measurement (Hémoglobine a1c test)']","['Furosémide', 'Spironolactone', 'Lactulose', 'Tacrolimus (Prograf)', 'Nadolol', 'Mycophénolate Mofétil (Cellcept)', 'Propranonol', 'Thiamine', 'Methadone', 'Ursodiol (Urso)', 'Epoetin Alfa (Procrit)', 'Peginterféron Alfa-2B (Sylatron)']"
31,Anévrisme aortique thoracique,"[« Douleur thoracique sharp », « Vertiges », « Douleurs du dos », « Essoufflement », « Douleur abdominale sharp », « Fatigue », « Étanchéité de la poitrine », « Couleur inhabituelle ou odeur de l'urine », « Brûlure », « Crampes ou spasmes », « Toux de l'expectoration », « Jaundice »]",Un anévrisme aortique thoracique est un anévrisme aortique qui se présente principalement dans le thorax.,"['Procédure d'imagerie radiographique', 'Electrocardiogramme', 'Tests hématologiques (Test de la longueur)', 'Complètement de la numération sanguine (Cbc)', 'Tomographie calculée par rayons X (Scan ct)', 'Mesure de la lucose (Niveau de la lucose)', 'Tests de la fonction Kidney (Test de la fonction Kidney)']","['Metoprolol', 'Nitroglycérine', 'Hydralazine', 'Labetalol', 'Esmolol', 'Pentoxifylline', 'Colchicine', 'Amiodarone', 'Nitroprusside', 'Estropipate (Ogen)', 'Dexaméthasone Ophtalmique']"
32,Hémorragie sous-durale,"['Headache', 'Dizzness', 'Problèmes avec mouvement', 'Symptômes dépressifs ou psychotiques', 'Seizures', 'Vomissement', 'Malheur faciale', 'Disturbance de la mémoire', 'Enfant irritable', 'Movement abnormal de la paupière', 'Comportement hospitalier', 'Déligations ou hallucinations']","Un hématome subdural (orthographe américaine) ou hématome subdural (orthographe britannique), également connu sous le nom d'hémorragie subdural (SDH), est un type d'hématome, généralement associé à des lésions cérébrales traumatiques. Le sang s'accumule dans la couche méningéale externe, entre la dura mater, qui adhère au crâne, et l'arachnoide mater, qui enveloppe le cerveau. Généralement résultant de larmes dans des veines de pont qui traversent l'espace subdural, les hémorragies subdurales peuvent provoquer une augmentation de la pression intracrânienne (ICP), qui peut causer la compression et l'endommagement des tissus cérébraux délicats.","['Procédure d'imagerie radiographique', 'Tomographie calculée par rayons X (Scan ct)', 'Tests hématologiques (Test de sang)', 'Complètement de la numération sanguine (Cbc)', 'Remplacement de liquide intraveineux', 'Rayon X de Plain (Ray X)', 'Scannage CAT de la tête (Ct tête)']","['Levetiracetam (Keppra)', 'Phenytoin (Dilantin)', 'Labetalol', 'Phenobarbital', 'Mannitol', 'Nicardipine', 'Vitamine K 1 (Mephyton)', 'Carbidopa', 'Rocuronium', 'Linézolide (Zyvox)', 'Dorzolamide Ophtalmique', 'Fosphénytoïne']"
33,rubéole congénitale,"['Paine dans les yeux', 'Crampes ou spasmes de soudeur', 'douleur faciale', 'douleur de cheville', 'douleur de poignet', 'douleur pendant la grossesse', 'Viande excessive', 'Rigidité ou oppression commune', 'douleur ou douleur du sein', 'Glisse ou masse de knee', 'Fatigue', 'Urination excessive la nuit']","Le syndrome de la rubéole congénitale (SRC) peut survenir chez un foetus en développement d'une femme enceinte qui a contracté la rubéole au cours de son premier trimestre. Si l'infection survient, il y a 43% de chances que l'enfant soit affecté. Si l'infection survient, il y a 51% de chances que l'enfant soit affecté.","['Transgression cornéenne', 'Résection transuréthrale de la prostate (TURP) (Turp)', 'Thrombolyse coronaire', 'Contrôle de l'épistaxis', 'TCT scan abdominal (Ct of abdominal)', 'Procédures sur la rate (Operation de la rate)', 'Transplantation de moelle osseuse (Bmt)']","['Air', 'Mecamylamine', 'Troleandomycine', 'Indium Oxyquinoline In-111 (Indium In-111 Oxyquinoline)', 'Pipecuronium (Arduan)', 'Grepafloxacine (Raxar)', 'Rabbit Anti-Human T-Lymphocyte Globuline (Thymoglobuline)', 'Acide Iopanoïque', 'Estrogènes conjugués topiques', 'Malathion Topical', 'Gemtuzumab (Mylotarg)']"
34,Rétinopathie diabétique,"['Vision diminuée', 'Spots ou nuages dans la vision', 'Paine dans les yeux', 'Lacrimation', 'Symptômes de l'œil', 'Eye redness', 'Foreign body sensation in eye', 'Itchiness of eye', 'Blindness', 'Bleeding from eye', 'Abnormal movement of paupiere', 'Double vision']","La rétinopathie diabétique, () est une rétinopathie (dommage à la rétine) causée par les complications du diabète, qui peut éventuellement conduire à la cécité. C'est une manifestation oculaire du diabète, une maladie systémique, qui affecte jusqu'à 80 pour cent de tous les patients qui ont eu le diabète pendant 10 ans ou plus. Malgré ces statistiques intimidantes, la recherche indique qu'au moins 90 pour cent de ces nouveaux cas pourraient être réduits s'il y avait un traitement approprié et vigilant et une surveillance des yeux.","[«Autres procédures thérapeutiques sur paupières; conjonctiva; cornée», «Examen et évaluation ophtalmiques (examen Eye)», «Diagnostic et traitement ophtalmologiques et otologiques», «Mesure de l'hémoglobine A1c (Test de l'hémoglobine A1c)», «Réparation de la déchirure rétinienne; détachement», «Autres procédures thérapeutiques extraoculaires et orbitales», «Autres procédures thérapeutiques intraoculaires»]","['Insulin', 'Insulin Glargine (Lantus)', 'Tropicamide Ophtalmic', 'Phenylephrine (Duramax)', 'Insulin, Aspart, Human (Novolog)', 'Brimonidine Ophtalmic', 'Prednisolone Ophtalmic', 'Bevacizumab (Avastin)', 'Rosiglitazone (Avandia)', 'Latanoprost', 'Gatifloxacine (Zymar)', 'Timolol']"
35,Fibromyalgie,"['Malheur au dos', 'Malheur au cou', 'Malheur au cou', 'Malheur au cou', 'Malheur au cou', 'Malheur au cou', 'Malheur au cou', 'Malheur au cou', 'Malheur au bras', 'Malheur au cou', 'Malheur au cou', 'Fatigue']","La fibromyalgie (FM ou FMS) est caractérisée par une douleur chronique généralisée et une allodynie (réponse accrue et douloureuse à la pression) dont la cause exacte est inconnue mais qui implique des facteurs psychologiques, génétiques, neurobiologiques et environnementaux. Les symptômes de fibromyalgie ne se limitent pas à la douleur, ce qui conduit à l'utilisation du terme alternatif de syndrome de fibromyalgie pour l'état. D'autres symptômes incluent la fatigue débilitante, la perturbation du sommeil et la raideur articulaire. Certains patients signalent également des difficultés à avaler, des anomalies de l'intestin et de la vessie, des engourdissements et des picotements, et des troubles cognitifs. La fibromyalgie est souvent comorbide avec des affections psychiatriques telles que la dépression et l'anxiété et des troubles liés au stress tels que le syndrome de stress post-traumatique.","['Exercises de thérapie physique (exercices), 'imagerie par résonance magnétique (Mri)', 'Autres procédures thérapeutiques', 'Mammographie (mammographie)', 'Criblage de dépression (criblage de dépression)', 'Autres thérapies physiques et réadaptation', 'Scannage de densité osseuse']","['Pregabaline (Lyrica)', 'Tizanidine', 'Nortriptyline', 'Milnacipran (Savella)', 'Chlorzoxazone', 'Oxymorphone (Opana)', 'Rifaximin', 'Cevimeline (Evoxac)', 'Clemastine (Tavist)', 'Naratriptan (Amerge)', 'Ergotamine']"
